aonde gastou,natureza do gasto,valor total,parcelas,no da parcela,valor unitário,tipo,comp,cartao,origem
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,4.76,,,4.76,Cartão de Crédito,shared,,base
99* Pop 25mar 08h25min,Combustível/ Passagens/ Uber / Sem Parar,17.64,,,17.64,Cartão de Crédito,shared,,base
Bkg*Booking Com Hotel,Viagens / Férias,5217.11,,,5217.11,Cartão de Crédito,shared,,base
Iof Despesa No Exterior,Viagens / Férias,176.34,,,176.34,Cartão de Crédito,shared,,base
Hotel At Booking Com,Viagens / Férias,-89.46,,,-89.46,Cartão de Crédito,shared,,base
Rentalcars Com,Viagens / Férias,2969.17,,,2969.17,Cartão de Crédito,shared,,base
Iof Despesa No Exterior,Viagens / Férias,100.36,,,100.36,Cartão de Crédito,shared,,base
Netflix Com,"Gastos com mensalidades (Gympass, Spotfy, Unicef e Rappi)",44.9,,,44.9,Cartão de Crédito,shared,,base
Ebn*Spotify,"Gastos com mensalidades (Gympass, Spotfy, Unicef e Rappi)",34.9,,,34.9,Cartão de Crédito,shared,,base
Hotel At Booking Com,Viagens / Férias,1662.62,,,1662.62,Cartão de Crédito,shared,,base
Iof Despesa No Exterior,Viagens / Férias,56.2,,,56.2,Cartão de Crédito,shared,,base
Dm *Helpmaxcom,"Gastos com mensalidades (Gympass, Spotfy, Unicef e Rappi)",11.9,,,11.9,Cartão de Crédito,shared,,base
Smiles *Txaembarque,Viagens / Férias,585.72,,,585.72,Cartão de Crédito,shared,,base
Smiles Club Smiles,Viagens / Férias,42.2,,,42,Cartão de Crédito,shared,,base
Smiles Fidel*Bilhete(01/04),Viagens / Férias,1445,4.0,1.0,1445,Cartão de Crédito,shared,,base
Smiles Fidel*Txaemba(01/04),Viagens / Férias,1295.09,4.0,1.0,1295.09,Cartão de Crédito,shared,,base
Claro Pgto Fatu Mensal,Planos de celular,273.73,,,273.73,Cartão de Crédito,shared,,base
Nespresso,Supermercado,99,,,99,Cartão de Crédito,shared,,base
99app *99app,Combustível/ Passagens/ Uber / Sem Parar,9.17,,,9.17,Cartão de Crédito,shared,,base
Pet Love*Pl*Order 10(02/02),Gastos com Cachorro,98.47,2.0,2.0,98.47,Cartão de Crédito,shared,,base
